Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.115,62.555,62.979,63.385,63.774,64.148,64.510,64.864,65.212,65.557,65.897,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,69.141,69.408,69.671,69.931,70.187,70.435,70.675,70.907,71.132,71.351,71.567,71.783,71.999,72.218,72.440,72.663,72.887,73.108,73.327,73.541,73.752,73.957,74.158,74.354,74.544,74.727,74.905,75.078,75.247,75.412,75.574,75.733,75.892,76.050,76.207,76.364
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.817,70.973,70.942,70.912,70.881,70.850,70.820,70.869,70.919,70.969,71.019,71.068,71.458,71.847,72.236,72.625,73.015,73.344,73.674,74.004,74.334,74.663,74.905,75.146,75.388,75.629,75.871,76.152,76.433,76.714,76.995,77.276,77.378,77.878,77.878,77.829,78.078,78.480,78.632,78.932,79.234,79.634,79.937,80.239,80.490,80.841,81.041,81.293,81.395,81.544,81.695,81.895,82.046,82.149,82.300,82.400,82.500
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.586,69.577,69.310,69.444,69.922,69.722,70.046,69.918,70.058,69.833,69.915,70.115,70.463,71.015,71.012,71.115,71.566,71.915,72.012,72.312,72.463,72.812,72.961,73.012,73.612,73.815,74.317,74.768,75.217,75.266,75.568,75.617,75.817,76.068,76.420,76.668,76.871,77.320,77.671,77.876,78.127,78.576,78.678,78.632,79.180,79.332,79.880,80.180,80.432,80.332,80.580,80.983,80.937,81.137,81.490,81.190,80.890
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.035,61.257,61.470,61.679,61.890,62.104,62.322,62.539,62.751,62.953,63.141,63.310,63.457,63.583,63.688,63.776,63.852,63.922,63.992,64.069,64.161,64.280,64.424,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.731,64.810,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.750,69.269,69.774,70.238,70.646,70.987,71.260,71.478,71.656,71.800,71.921,72.026
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.281,41.592,41.907,42.225,42.540,42.838,43.103,43.328,43.515,43.675,43.829,44.006,44.232,44.517,44.865,45.266,45.701,46.141,46.562,46.953,47.314,47.657,47.992,48.317,48.618,48.845,48.941,48.884,48.684,48.379,48.053,47.816,47.752,47.911,48.295,48.860,49.526,50.186,50.758,51.213,51.545,51.779,51.977,52.190,52.437,52.735,53.090,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.702,70.521,70.220,70.051,70.755,70.625,70.706,71.013,70.693,70.765,70.972,71.060,71.405,71.635,71.986,71.971,72.120,72.774,72.698,73.194,73.207,73.622,73.888,73.869,74.405,74.520,74.732,75.366,75.566,75.633,76.052,76.192,76.351,76.345,76.692,76.841,77.187,77.371,77.473,77.620,77.722,77.973,78.076,78.129,78.878,78.980,79.380,79.783,79.680,80.034,80.183,80.585,80.385,80.588,81.288,80.993,80.993
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.271,37.727,38.188,38.655,39.130,39.615,40.109,40.610,41.117,41.630,42.152,42.684,43.229,43.781,44.337,44.882,45.399,45.883,46.335,46.764,47.190,47.643,48.145,48.710,49.339,50.034,50.790,51.581,52.372,53.132,53.812,54.366,54.776,55.042,55.174,55.203,55.170,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.432,34.897,35.369,35.847,36.331,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.630,42.343,43.166,44.081,45.060,46.049,46.984,47.810,48.486,48.992,49.323,49.492,49.550,49.545,49.505,49.454,49.409,49.374,49.360,49.380,49.445,49.557,49.713,49.914,50.168,50.489,50.893,51.384,51.956,52.602,53.310,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.831,46.460,47.086,47.694,48.257,48.690,48.895,48.838,48.535,48.050,47.523,47.136,47.031,47.291,47.925,48.865,49.981,51.098,52.082,52.878,53.478,53.917,54.292,54.678,55.102,55.578,56.102,56.654,57.220,57.800,58.401,59.033,59.700,60.400,61.127,61.868,62.610,63.338,64.038,64.702,65.324,65.903,66.448,66.965,67.460,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.248,70.196,69.492,70.309,71.121,71.294,71.223,70.414,71.225,70.430,71.256,70.874,70.900,71.342,71.208,71.050,71.395,70.816,71.185,71.308,71.158,71.572,71.186,71.386,71.500,71.228,71.731,71.527,71.604,71.722,71.641,71.561,71.494,71.347,71.209,71.053,70.897,70.351,71.061,71.412,71.663,71.768,71.866,72.066,72.563,72.561,72.612,72.663,72.963,73.412,73.512,74.163,74.315,74.861,74.466,74.615,74.615
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.868,53.234,54.589,55.910,57.181,58.387,59.523,60.595,61.608,62.559,63.448,64.274,65.042,65.757,66.421,67.040,67.616,68.152,68.651,69.117,69.550,69.950,70.316,70.650,70.956,71.237,71.495,71.735,71.962,72.179,72.390,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.440,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.770,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.900
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.881,63.220,63.551,63.873,64.189,64.498,64.800,65.095,65.383,65.665,65.943,66.218,66.490,66.759,67.027,67.291,67.550,67.803,68.050,68.290,68.524,68.755,68.984,69.212,69.438,69.663,69.886,70.104,70.316,70.518,70.705,70.869,71.010,71.131,71.239,71.351,71.482,71.646,71.850,72.093,72.370,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.410,74.591,74.761,74.923,75.079,75.230,75.379,75.527,75.675
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.353,61.019,61.646,62.243,62.818,63.381,63.940,64.499,65.059,65.621,66.187,66.756,67.320,67.867,68.390,68.872,69.296,69.657,69.954,70.193,70.399,70.601,70.820,71.061,71.315,71.534,71.650,71.626,71.461,71.185,70.877,70.645,70.577,70.724,71.091,71.643,72.306,72.977,73.572,74.057,74.413,74.653,74.824,74.967,75.096,75.223,75.353,75.486,75.619,75.758,75.905,76.060,76.223,76.390,76.561,76.735,76.911
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.708,68.213,68.636,68.992,69.290,69.537,69.735,69.882,69.983,70.045,70.079,70.093,70.092,70.082,70.068,70.048,70.016,69.967,69.906,69.842,69.802,69.819,69.908,70.065,70.272,70.993,71.550,70.990,71.341,71.483,70.837,70.378,70.022,68.971,68.768,68.461,68.512,68.461,68.407,67.907,68.912,68.507,68.056,68.554,68.956,68.851,69.405,70.207,70.456,70.407,70.405,70.554,71.966,72.471,72.971,73.624,73.827
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.981,60.531,61.092,61.663,62.241,62.823,63.402,63.971,64.525,65.058,65.566,66.047,66.504,66.939,67.354,67.751,68.135,68.509,68.874,69.229,69.577,69.921,70.257,70.575,70.865,71.110,71.294,71.405,71.437,71.386,71.246,71.011,70.696,70.325,69.922,69.517,69.143,68.820,68.568,68.400,68.329,68.356,68.460,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,68.898,,,,,70.290,,,,,,,,,,72.305,,,,,,,,,,,74.030,,,,,,,,,77.885,77.885,78.088,78.334,78.485,78.685,78.888,78.934,79.237,79.388,79.289,81.153,81.678,80.572,80.797,81.012,81.227
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.138,42.454,42.778,43.110,43.451,43.800,44.157,44.523,44.898,45.280,45.671,46.070,46.477,46.892,47.315,47.745,48.183,48.629,49.082,49.543,50.012,50.489,50.974,51.466,51.965,52.472,52.986,53.507,54.034,54.566,55.104,55.647,56.195,56.747,57.303,57.862,58.423,58.987,59.554,60.122,60.690,61.260,61.829,62.399,62.968,63.538,64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.241,54.754,55.270,55.785,56.293,56.794,57.289,57.776,58.254,58.717,59.154,59.557,59.919,60.241,60.527,60.782,61.017,61.244,61.476,61.721,61.983,62.264,62.559,62.866,63.185,63.514,63.852,64.197,64.552,64.917,65.300,65.708,66.144,66.607,67.095,67.600,68.112,68.622,69.120,69.599,70.055,70.486,70.896,71.290,71.670,72.040,72.405,72.768,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.002,61.481,61.964,62.451,62.940,63.426,63.900,64.355,64.786,65.191,65.569,65.922,66.257,66.580,66.894,67.203,67.510,67.816,68.120,68.424,68.726,69.024,69.317,69.602,69.878,70.145,70.405,70.658,70.905,71.147,71.383,71.614,71.841,72.061,72.275,72.481,72.678,72.865,73.043,73.213,73.377,73.535,73.691,73.847,74.004,74.163,74.324,74.486,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.467,63.017,63.544,64.044,64.515,64.957,65.375,65.776,66.167,66.550,66.928,67.300,67.665,68.021,68.369,68.706,69.032,69.347,69.651,69.945,70.230,70.509,70.784,71.056,71.326,71.595,71.864,72.132,72.397,72.659,72.916,73.167,73.413,73.651,73.883,74.110,74.332,74.551,74.769,74.985,75.202,75.425,75.650,75.875,76.093,76.291,76.455,76.577,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.526,34.889,35.290,35.734,36.220,36.745,37.303,37.882,38.469,39.057,39.635,40.194,40.735,41.263,41.784,42.311,42.861,43.447,44.077,44.751,45.464,46.204,46.954,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.879,53.637,54.393,55.146,55.898,56.657,57.432,58.231,59.055,59.899,60.758,61.625,62.484,63.322,64.126,64.882,65.578,66.214,66.792,67.315,67.790,68.227,68.639,69.038,69.430,69.817,70.197
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.661,51.028,51.381,51.726,52.068,52.418,52.787,53.184,53.617,54.090,54.609,55.176,55.782,56.415,57.065,57.721,58.375,59.016,59.630,60.204,60.733,61.215,61.650,62.029,62.334,62.556,62.688,62.716,62.620,62.372,61.905,61.146,60.083,58.748,57.203,55.530,53.826,52.211,50.808,49.712,49.030,48.838,49.108,49.788,50.832,52.165,53.695,55.312,56.919,58.450,59.868,61.179,62.425,63.630,64.780,65.846,66.797
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.489,36.902,37.326,37.768,38.233,38.734,39.281,39.877,40.522,41.212,41.946,42.720,43.521,44.330,45.129,45.900,46.628,47.302,47.911,48.442,48.886,49.240,49.507,49.694,49.799,49.823,49.761,49.619,49.402,49.118,48.767,48.350,47.873,47.352,46.807,46.252,45.700,45.166,44.675,44.254,43.937,43.755,43.718,43.827,44.080,44.466,44.967,45.552,46.190,46.862,47.560,48.284,49.041,49.825,50.621,51.410,52.171
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.133,71.346,71.367,71.381,71.776,71.872,72.004,72.208,72.353,72.501,72.700,73.029,72.934,73.163,73.238,73.522,73.856,74.216,74.530,74.866,75.078,75.479,75.680,76.036,76.318,76.303,76.440,76.740,76.809,77.066,77.377,77.553,77.321,77.685,77.862,77.978,78.230,78.480,78.662,78.883,79.237,79.488,79.590,79.839,80.141,80.293,80.293,80.544,80.695,80.946,81.198,81.449,81.584,81.772,81.953,82.129,82.301
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.821,68.262,68.007,68.696,69.052,69.277,69.527,69.273,69.536,69.276,69.447,69.485,69.925,70.068,70.306,70.174,70.319,70.242,70.148,70.239,69.890,70.371,70.455,70.390,70.349,70.313,70.565,70.612,70.862,70.732,70.656,70.573,70.732,70.846,70.870,71.026,71.335,71.518,71.898,72.185,72.720,73.098,73.244,73.384,73.739,73.840,74.095,74.252,74.578,74.932,75.295,75.888,75.993,76.355,76.685,76.591,76.603
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.313,71.645,71.196,71.188,72.078,72.202,72.336,72.637,72.590,72.613,73.020,73.131,73.644,73.941,74.287,74.666,74.785,75.238,75.187,75.466,75.459,75.693,76.034,76.031,76.609,76.734,76.899,77.198,77.227,77.421,77.242,77.515,77.806,78.085,78.350,78.417,78.896,79.080,79.324,79.580,79.680,80.180,80.385,80.537,81.088,81.237,81.490,81.741,81.993,82.044,82.246,82.695,82.698,82.798,83.198,82.898,82.898
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.739,70.833,70.928,71.030,71.143,71.265,71.391,71.512,71.623,71.726,71.823,71.919,72.020,72.133,72.261,72.409,72.580,72.773,72.983,73.208,73.439,73.668,73.890,74.101,74.300,74.490,74.678,74.871,75.074,75.287,75.507,75.726,75.940,76.143,76.338,76.528,76.719,76.918,77.130,77.358,77.602,77.864,78.137,78.417,78.699,78.975,79.241,79.493,79.729,79.947,80.145,80.326,80.494,80.654,80.807,80.958,81.107
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.285,57.682,58.097,58.533,58.993,59.479,59.994,60.536,61.104,61.696,62.311,62.950,63.609,64.283,64.967,65.658,66.355,67.052,67.744,68.422,69.074,69.690,70.265,70.798,71.288,71.739,72.157,72.553,72.936,73.311,73.680,74.042,74.394,74.733,75.059,75.374,75.678,75.974,76.259,76.533,76.793,77.034,77.255,77.453,77.632,77.791,77.934,78.066,78.193,78.320,78.454,78.599,78.758,78.931,79.117,79.315,79.522
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.843,67.256,67.618,67.933,68.210,68.451,68.661,68.842,69.002,69.150,69.293,69.437,69.587,69.750,69.935,70.156,70.427,70.747,71.115,71.521,71.955,72.401,72.840,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932,76.092,76.252
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.865,37.554,38.223,38.866,39.488,40.103,40.736,41.406,42.125,42.890,43.695,44.526,45.357,46.166,46.940,47.668,48.346,48.979,49.570,50.115,50.616,51.079,51.503,51.885,52.215,52.484,52.677,52.786,52.798,52.706,52.486,52.117,51.605,50.975,50.259,49.501,48.746,48.043,47.438,46.969,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.520,53.053,53.582
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.546,41.988,42.429,42.868,43.304,43.741,44.184,44.640,45.111,45.598,46.104,46.627,47.163,47.705,48.247,48.784,49.311,49.825,50.318,50.781,51.211,51.604,51.958,52.266,52.518,52.698,52.787,52.781,52.680,52.490,52.209,51.835,51.390,50.910,50.433,50.015,49.708,49.543,49.538,49.700,50.026,50.495,51.059,51.671,52.301,52.916,53.494,54.033,54.535,54.996,55.424,55.832,56.241,56.665,57.111,57.582,58.073
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.098,41.312,41.529,41.755,41.995,42.257,42.549,42.868,43.208,43.563,43.915,44.247,44.545,44.804,45.026,45.222,45.410,45.609,45.833,46.086,46.363,46.651,46.937,47.208,47.461,47.705,47.955,48.221,48.502,48.787,49.043,49.225,49.311,49.302,49.220,49.111,49.040,49.066,49.233,49.557,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.350,56.907,57.418,57.894,58.347,58.782,59.205,59.621
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.602,49.250,49.863,50.437,50.970,51.460,51.907,52.317,52.696,53.049,53.380,53.691,53.987,54.270,54.544,54.815,55.087,55.361,55.632,55.895,56.143,56.372,56.571,56.729,56.835,56.877,56.844,56.736,56.553,56.295,55.954,55.521,55.008,54.438,53.842,53.247,52.677,52.164,51.748,51.473,51.397,51.577,52.017,52.703,53.608,54.687,55.881,57.115,58.321,59.452,60.473,61.370,62.169,62.890,63.536,64.112,64.625
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.752,57.283,57.775,58.238,58.678,59.100,59.500,59.877,60.233,60.574,60.910,61.248,61.598,61.966,62.360,62.791,63.271,63.796,64.354,64.932,65.506,66.049,66.541,66.965,67.315,67.588,67.789,67.938,68.060,68.171,68.292,68.443,68.630,68.857,69.125,69.428,69.756,70.090,70.416,70.727,71.019,71.293,71.556,71.813,72.062,72.303,72.532,72.749,72.952,73.143,73.325,73.500,73.673,73.847,74.022,74.200,74.381
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.447,41.846,42.245,42.644,43.043,43.446,43.858,44.283,44.724,45.179,45.642,46.103,46.557,47.001,47.441,47.887,48.356,48.860,49.406,49.992,50.615,51.265,51.925,52.580,53.221,53.843,54.446,55.033,55.605,56.154,56.677,57.168,57.623,58.038,58.407,58.722,58.972,59.160,59.294,59.388,59.460,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.240,62.596,62.923,63.216,63.473,63.701
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.928,49.123,49.400,49.771,50.235,50.772,51.349,51.934,52.511,53.078,53.669,54.331,55.096,55.973,56.940,57.950,58.937,59.837,60.606,61.228,61.708,62.073,62.376,62.664,62.958,63.268,63.592,63.918,64.238,64.556,64.877,65.204,65.543,65.902,66.288,66.720,67.221,67.793,68.421,69.086,69.747,70.358,70.882,71.293,71.584,71.760,71.842,71.869,71.881,71.899,71.941,72.019,72.127,72.259,72.418,72.599,72.798
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.556,61.269,61.964,62.630,63.259,63.848,64.399,64.924,65.434,65.937,66.439,66.946,67.460,67.983,68.519,69.072,69.648,70.242,70.846,71.452,72.045,72.610,73.135,73.612,74.035,74.401,74.714,74.984,75.223,75.438,75.638,75.830,76.016,76.200,76.385,76.571,76.759,76.942,77.119,77.288,77.448,77.597,77.736,77.868,77.993,78.114,78.234,78.355,78.481,78.613,78.756,78.911,79.077,79.254,79.440,79.634,79.831
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.371,62.869,63.327,63.742,64.113,64.442,64.734,65.000,65.250,65.492,65.736,65.987,66.246,66.512,66.785,67.061,67.339,67.613,67.878,68.131,68.367,68.581,68.771,68.937,69.076,69.190,69.284,69.372,69.435,69.502,69.563,69.620,69.707,69.713,69.756,69.804,69.858,69.989,69.999,70.091,70.204,70.341,70.573,70.687,70.892,71.113,71.345,71.582,71.817,72.042,72.252,72.445,72.619,72.779,72.926,73.063,73.192
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.834,64.445,65.066,65.696,66.328,66.958,67.575,68.174,68.748,69.293,69.812,70.310,70.791,71.259,71.712,72.144,72.550,72.923,73.258,73.552,73.803,74.013,74.184,74.323,74.435,74.519,74.574,74.602,74.614,74.622,74.644,74.702,74.807,74.963,75.169,75.415,75.683,75.950,76.203,76.437,76.658,76.880,77.119,77.381,77.663,77.950,78.225,78.469,78.672,78.833,78.959,79.064,79.167,79.282,79.415,79.570,79.742
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.710,75.363,75.310,76.156,,77.473,,,77.824,,77.873
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.190,,,,,,
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.618,69.949,70.272,70.587,70.895,71.197,71.491,71.776,72.052,72.318,72.576,72.825,73.067,73.301,73.530,73.753,73.971,74.183,74.390,74.592,74.790,74.984,75.174,75.359,75.541,75.718,75.892,76.063,76.230,76.393,76.554,76.711,76.865,77.017,77.166,77.312,77.456,77.598,77.738,77.876,78.010,78.140,78.264,78.386,78.506,78.631,78.764,78.911,79.071,79.245,79.430,79.620,79.810,79.995,80.173,80.344,80.508
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.349,70.513,69.787,70.304,70.460,70.163,70.385,70.264,69.841,69.367,69.440,69.677,70.177,70.023,70.087,70.415,70.533,70.573,70.644,70.750,70.278,70.722,70.808,70.591,70.838,71.046,70.997,71.446,71.641,71.676,71.384,71.898,72.272,72.768,72.973,73.075,73.715,73.825,74.515,74.668,74.968,75.173,75.222,75.171,75.722,75.924,76.524,76.724,76.976,77.078,77.424,77.873,78.076,78.176,78.824,78.578,78.332
